"Animal","Status","Age (Days)","IL8"
"Animal 01","no",216,1075.626
"Animal 02","no",180,740.451
"Animal 03","no",180,463.376
"Animal 04","no",180,258.416
"Animal 05","no",227,608.508
"Animal 06","no",234,860.031
"Animal 07","no",185,516.165
"Animal 08","no",220,NA
"Animal 09","no",213,625.548
"Animal 10","no",193,660.911
"Animal 11","no",154,136.693
"Animal 12","no",183,459.984
"Animal 13","no",148,NA
"Animal 14","no",132,442.338
"Animal 15","yes",205,611.793
"Animal 16","yes",234,144.653
"Animal 17","yes",197,704.55
"Animal 18","yes",233,1279.789
"Animal 19","yes",232,715.056
"Animal 20","yes",216,365.177
"Animal 21","yes",227,920.036
"Animal 22","yes",211,642.148
"Animal 23","yes",205,425.782
"Animal 24","yes",213,476.431
"Animal 25","yes",156,431.059
